storeNumber,projectDate,projectTime,manager,duration,streetAddress,city,state,zipCode,totalDoors,vaultDoors,vaultShelves,vaultRun,reachInDoors,reachInFootage,reachInFootage2,uprights,phoneNumber,businessUnit,retailer,jobType,training,trainer,status,projectComments,,,,
283,2024-01-08,AM,Alex Leon,1,1990 E. I-30,Rockwall,TX,75075,,,,,,,,,(972) 722-3178,TX - Texas,Loves,Beverage,,,,,,,,
294,2024-01-09,AM,Alex Leon,1,8800 S. Polk Street,Dallas,TX,75232,,,,,,,,,(972) 224-5970,TX - Texas,Loves,Beverage,,,,,,,,
331,2024-01-10,AM,Alex Leon,1,2500 S. I-45,Hutchins,TX,75141,,,,,,,,,(972) 225-3560,TX - Texas,Loves,Beverage,,,,,,,,
216,2024-01-11,AM,Alex Leon,1,1501 W Highway 287,Midlothian,TX,76065,,,,,,,,,(972) 775-2820,TX - Texas,Loves,Beverage,,,,,,,,
609,2024-01-12,AM,Alex Leon,1,6421 N I-35,Denton,TX,76207,,,,,,,,,(940) 320-1457,TX - Texas,Loves,Beverage,,,,,,,,
299,2024-01-15,AM,Alex Leon,1,1701 US Highway 75,Anna,TX,75409,,,,,,,,,(972) 924-3683,TX - Texas,Loves,Beverage,,,,,,,,
721,2024-01-16,AM,Alex Leon,1,6550 S Interstate 45 Service Rd,Alma,TX,75119,,,,,,,,,(972) 875-8103,TX - Texas,Loves,Beverage,,,,,,,,
287,2024-01-17,AM,Alex Leon,1,1221 S. Oak St,Van,TX,75790,,,,,,,,,(903) 502-6008,TX - Texas,Loves,Beverage,,,,,,,,
651,2024-01-18,AM,Alex Leon,1,1188 S. Oak St.,Van,TX,75790,,,,,,,,,(903) 963-1122,TX - Texas,Loves,Beverage,,,,,,,,
815,2024-01-19,AM,Alex Leon,1,12577 CR 3101,Winona,TX,75792,,,,,,,,,(903) 618-4002,TX - Texas,Loves,Beverage,,,,,,,,
2709868,2024-01-30,AM,Alex Leon,2,3600 W. 38th Ave,Denver,CO,80211,9,55,,,,,,0,,RM - Rocky Mountain,Circle K,Flex Roller,,,SWAPPED FROM CATHERINE SCHEDULE,,,,,
2740661,2024-02-01,AM,Alex Leon,2,4498 Sheridan Blvd,Denver,CO,80212,9,61,,,,,,0,,RM - Rocky Mountain,Circle K,Flex Roller,,,SWAPPED FROM CATHERINE SCHEDULE,,,,,
2709841,2024-02-05,AM,Alex Leon,2,1190 West Baptist Road,Monument,CO,80921,11,74,,4/5/2/0,,,,14,,RM - Rocky Mountain,Circle K,Flex Roller,,,,,,,,
